FirstName,LastName,Race,BirthPlace,BirthPlace2,PLAYER_NAME
Dewayne,Dedmon,black,USA,,Dewayne Dedmon
Dillon,Brooks,black/Mixed,USA,,Dillon Brooks
Dion,Waiters,black,USA,,Dion Waiters
Domantas,Sabonis,white,Lithuania,,Domantas Sabonis
Donovan,Mitchell,black,USA,,Donovan Mitchell
Donta,Hall,black,USA,,Donta Hall
Donte,DiVincenzo,white,USA,,Donte DiVincenzo
Dorian,Finney-Smith,black,USA,,Dorian Finney-Smith
Doug,McDermott,white,USA,,Doug McDermott
Dragan,Bender,white,Croatia,,Dragan Bender
Draymond,Green,black,USA,,Draymond Green
Drew,Eubanks,white,USA,,Drew Eubanks
Duncan,Robinson,white,USA,,Duncan Robinson
Dwayne,Bacon,black,USA,,Dwayne Bacon
Dwight,Howard,black,USA,,Dwight Howard
Dwight,Powell,black/Mixed,USA,,Dwight Powell
Dylan,Windler,white,USA,,Dylan Windler
Dzanan,Musa,white,Bosnia,,Dzanan Musa
E'Twaun,Moore,black,USA,,E'Twaun Moore
Ed,Davis,black,USA,,Ed Davis
Edmond,Sumner,black,USA,,Edmond Sumner
Elfrid,Payton,black,USA,,Elfrid Payton
Elie,Okobo,black,France,,Elie Okobo
Emmanuel,Mudiay,black,Congo,,Emmanuel Mudiay
Enes,Kanter,white,Turkey,,Enes Kanter
Eric,Bledsoe,black,USA,,Eric Bledsoe
Eric,Gordon,black,USA,,Eric Gordon
Eric,Paschall,black,USA,,Eric Paschall
Ersan,Ilyasova,white,Turkey,,Ersan Ilyasova
Evan,Fournier,white,France,,Evan Fournier
Evan,Turner,black,USA,,Evan Turner
Frank,Jackson,black/Mixed,USA,,Frank Jackson
Frank,Kaminsky,white,USA,,Frank Kaminsky
Frank,Mason,black,USA,,Frank Mason
Frank,Ntilikina,black,France,,Frank Ntilikina
Fred,VanVleet,black/Mixed,USA,,Fred VanVleet
Furkan,Korkmaz,white,Turkey,,Furkan Korkmaz
Gabe,Vincent,black,Nigeria,,Gabe Vincent
Garrett,Temple,black,USA,,Garrett Temple
