FirstName,LastName,Race,BirthPlace,BirthPlace2,PLAYER_NAME
,,black,,,Bonzie Colson
,,black,,,Boris Diaw
,,black,,,Brandan Wright
,,black,,,Brandon Bass
,,black,,,Brandon Boston
,,black,,,Brandon Jennings
,,black,,,Brandon Paul
,,black,,,Brandon Rush
,,black,,,Brandon Sampson
,,black,,,Brandon Williams
,,black,,,Braxton Key
,,black,,,Brian Roberts
,,black,,,Briante Weber
,,black,,,Brice Johnson
,,black,,,Brodric Thomas
,,black,,,C.J. Watson
,,black,,,C.J. Wilcox
,,black,,,C.J. Williams
,,black,,,Cade Cunningham
,,black,,,Cam Reynolds
,,black,,,Cam Thomas
,,black,,,Cameron McGriff
,,black,,,Cameron Oliver
,,black,,,Cameron Payne
,,black,,,Carlik Jones
,,black,,,Carrick Felix
,,black,,,Cassius Stanley
,,black,,,Cassius Winston
,,black,,,Cat Barber
,,white,,,Chandler Parsons
,,black,,,Channing Frye
,,black,,,Charles Bassey
,,black,,,Charles Cooke
,,black,,,Charlie Brown Jr.
,,black,,,Chaundee Brown Jr.
,,black,,,Chinanu Onuaku
,,white,,,Chris Andersen
,,black,,,Chris Duarte
,,black,,,Chris McCullough
,,black,,,Chris Smith
,,black,,,Chuma Okeke
,,black,,,CJ Elleby
,,black,,,CJ Miles
,,black,,,Cody Demps
,,white,,,Cole Aldrich
,,black,,,Cole Anthony
,,black,,,Corey Brewer
,,white,,,Corey Kispert
,,black,,,Craig Sword
,,black,,,Dahntay Jones
,,white,Latvia,,Dairis Bertans
,,black,,,Daishen Nix
,,black,,,Dakari Johnson
,,white,,,Dakota Mathias
,,black,,,Dalano Banton
,,black,,,Damien Wilkins
,,white,Croatia,,Damjan Rudez
,,black,,,Daniel Hamilton
,,black,,,Daniel Ochefu
,,black,,,Daniel Oturu
,,black,,,Dante Cunningham
,,black,,,Darrell Arthur
,,black,,,Darren Collison
,,black,,,Darrun Hilliard
,,black,,,Daryl Macon
,,white,,,Daulton Hommes
,,black,,,David Duke Jr.
,,black,,,David Johnson
,,white,,,David Lee
,,black,,,David Nwaba
,,white,,,David Stockton
,,black,,,David West
,,black,,,Davion Mitchell
,,black,,,Davon Reed
,,black,,,Day'Ron Sharpe
,,black,,,DeAndre Liggins
,,white,Lithuania,,Deividas Sirvydis
,,black,,,DeJon Jarreau
,,black,,,DeMarcus Cousins
,,black,,,Demetrius Jackson
,,black,,,Deng Adel
,,white,Israel,,Deni Avdija
,,black,,,Deron Williams
,,black,,,Derrick Walton Jr.
,,black,,,Derrick Williams
,,black,,,Desmond Bane
,,black,,,DeVaughn Akoon-Purcell
,,black,,,Devin Cannady
,,black,,,Devin Harris
,,black,,,Devin Robinson
,,black,,,Devin Vassell
,,black,,,Devon Dotson
,,black,,,Devon Hall
,,black,,,Deyonta Davis
,,black,,,Diamond Stone
,,black,,,Didi Louzada
,,white,Germany,,Dirk Nowitzki
,,black,,,DJ Stephens
,,black,,,DJ Stewart
,,white,,,Donatas Motiejunas
,,black,,,Donte Grantham
,,Mixed/Black,Germany,,Duane Washington Jr.
,,white,,,Dusty Hannahs
,,black,,,Dwight Buycks
,,black,,,Dwyane Wade
,,black,,,Edy Tavares
,,black,,,Ekpe Udoh
,,Mixed/Black,,,Elijah Bryant
,,black,,,Elijah Hughes
,,black,,,Elijah Millsap
,,black,,,Emanuel Terry
,,black,,,Emeka Okafor
,,white,Turkish,,Enes Freedom
,,white,,,Eric Mika
,,black,,,Eric Moreland
,,black,,,Erik McCree
,,black,,,Eugene Omoruyi
,,black,,,Evan Mobley
,,white,Argentina,,Facundo Campazzo
,,black,,,Feron Hunt
,,black,,,Frank Mason III
,,white,Germany,,Franz Wagner
,,black,,,Freddie Gillespie
,,Mixed/Black,,,Gabe York
,,white,Argentian,,Gabriel Deck
,,Mixed/Black,Denmark,,Gabriel Lundberg
,,black,,,Gary Neal
,,black,,,George King
,,white,Greek,,Georgios Kalaitzakis
,,white,Greek,,Georgios Papagiannis
,,black,,,Gerald Green
,,black,,,Gerald Henderson
,,black,,,Gian Clavell
,,black,,,Grant Riller
,,black,,,Greg Brown III
,,black,,,Greg Monroe
,,black,,,Greg Whittington
,,white,Venezuela,,Greivis Vasquez
,,black,,,Guerschon Yabusele
,,Mixed/Black,,,Hassani Gravett
,,black,,,Haywood Highsmith
,,white,,,Henry Ellenson
,,black,,,Herbert Jones
,,black,,,Hollis Thompson
,,black,,,Ian Clark
,,black,,,Ike Anigbogu
,,black,,,Iman Shumpert
,,black,,,Immanuel Quickley
,,white,Australia,,Isaac Humphries
,,black,,,Isaac Okoro
,,black,,,Isaiah Briscoe
,,black,,,Isaiah Canaan
,,black,,,Isaiah Hicks
,,black,,,Isaiah Jackson
,,black,,,Isaiah Joe
,,black,,,Isaiah Livers
,,black,,,Isaiah Stewart
,,black,,,Isaiah Taylor
,,black,,,Isaiah Thomas
,,black,,,Isaiah Todd
,,black,,,Isaiah Whitehead
,,black,,,Ish Wainright
,,black,,,Ivan Rabb
,,white,,,J.P. Macura
,,black,,,Jabari Bird
,,white,,,Jack Cooley
,,black,,,Jacob Pullen
,,black,,,Jacob Wiley
,,black,,,Jaden McDaniels
,,black,,,Jaden Springer
,,black,,,Jae'Sean Tate
,,black,,,Jahmi'us Ramsey
,,Hispanic/Black,,,Jaime Echenique
,,black,,,Jalen Green
,,black,,,Jalen Harris
,,black,,,Jalen Johnson
,,black,,,Jalen Jones
,,black,,,Jalen Smith
,,black,,,Jalen Suggs
,,black,,,Jamal Crawford
,,black,,,Jameel Warney
,,black,,,Jameer Nelson
,,black,,,Jamel Artis
,,black,,,James Bouknight
,,black,,,James Jones
,,black,,,James Michael McAdoo
,,black,,,James Nunnally
,,black,,,James Webb III
,,black,,,James Wiseman
,,black,,,James Young
,,black,,,Jamil Wilson
,,black,,,Jamorko Pickett
,,Mixed/Black,,,JaQuori McLaughlin
,,black,,,Jared Butler
,,black,,,Jared Sullinger
,,black,,,Jared Terrell
,,black,,,Jarell Eddie
,,black,,,Jarell Martin
,,black,,,Jarnell Stokes
,,black,,,Jaron Blossomgame
,,black,,,Jarrett Jack
,,white,,,Jarrod Uthoff
,,black,,,Jarron Cumberland
,,black,,,Jason Preston
,,white,,,Jason Smith
,,black,,,Jason Terry
,,black,,,Javin DeLaurier
,,black,,,Javonte Smart
,,black,,,Jawun Evans
,,white,,,Jay Huff
,,black,,,Jay Scrubb
,,black,,,Jaylen Adams
,,black,,,Jaylen Morris
,,black,,,Jaysean Paige
,,black,,,Jeff Dowtin
,,white,,,Jeff Withey
,,black,,,Jemerrio Jones
,,black,,,Jeremiah Robinson-Earl
,,black,,,Jeremy Evans
,,Asian/Mixed,,,Jeremy Lin
,,black,,,Jeremy Pargo
,,black,,,Jerian Grant
,,black,,,Jericho Sims
,,black,,,Jerryd Bayless
,,white,,,Jimmer Fredette
,,white,Australia,,Jock Landale
,,black,,,Jodie Meeks
,,black,,,Joe Johnson
,,white,,,Joe Wieskamp
,,black,,,Joe Young
,,black,,,Joel Anthony
,,black,,,Joel Ayayi
,,black,,,Joel Bolomboy
,,white,France,,Joffrey Lauvergne
,,black,,,John Holland
,,black,,,John Jenkins
,,black,,,John Lucas III
,,black,,,Johnny O'Bryant III
,,white,,,Jon Leuer
,,white,,,Jon Teske
,,black,,,Jonah Bolden
,,white,Sweden,,Jonas Jerebko
,,black,,,Jonathan Gibson
,,black,,,Jonathan Kuminga
,,black,,,Jonathon Simmons
,,black,,,Jordan Bell
,,black,,,Jordan Crawford
,,Mixed/Black,,,Jordan Farmar
,,black,,,Jordan Goodwin
,,black,,,Jordan Hill
,,black,,,Jordan Loyd
,,black,,,Jordan Mickey
,,black,,,Jordan Nwora
,,Mixed/Black,,,Jordan Schakel
,,black,,,Jordan Sibert
,,Hispanic,,,Jose Alvarado
,,white,,,Jose Calderon
,,black,,,Josh Christopher
,,white,,,Josh Giddey
,,black,Australia,,Josh Green
,,black,,,Josh Hall
,,black,,,Josh Huestis
,,white,,,Josh Magette
,,white,,,Josh McRoberts
,,black,,,Josh Smith
,,black,,,Joshua Primo
,,black,,,JR Smith
,,black,,,JT Thor
,,black,,,Julian Washburn
,,black,,,Julyan Stone
,,black,,,Justin Anderson
,,black,,,Justin Champagnie
,,white,,,Justin Hamilton
,,black,,,Justin Harper
,,black,,,Justin Patton
,,black,,,Justin Robinson
,,black,,,Justin Tillman
,,black,,,Kai Jones
,,black,,,Kalin Lucas
,,black,,,Karim Mane
,,black,,,Kay Felder
,,black,,,Keenan Evans
,,black,,,Keifer Sykes
,,black,,,Keljin Blevins
,,black,,,Kendrick Perkins
,,black,,,Kenneth Faried
,,black,,,Kenyon Martin Jr.
,,black,,,Keon Johnson
,,black,,,Kessler Edwards
,,white,,,Kevin Pangos
,,black,,,Kevin Seraphin
,,black,,,Killian Hayes
,,white,,,Killian Tillie
,,black,,,Kira Lewis Jr.
,,black,,,KJ McDaniels
,,white,,,Kosta Koufos
,,white,,,Kris Humphries
,,white,,,Kyle Collinsworth
,,white,,,Kyle Singler
,,white,,,Kyle Wiltjer
,,black,,,Lamar Patterson
,,black,,,Lamar Stevens
,,black,,,LaMelo Ball
,,black,,,Lance Stephenson
,,black,,,Lance Thomas
,,black,,,Larry Drew II
,,black,,,Larry Sanders
,,black,,,Lavoy Allen
,,black,Brazil,,Leandro Barbosa
,,white,Argentina,,Leandro Bolmaro
,,black,,,Levi Randolph
,,black,,,Lindell Wigginton
,,Mixed/Black,,,Lindy Waters III
,,Mixed/Black,,,London Perrantes
,,black,,,Lorenzo Brown
,,black,,,Luc Mbah a Moute
,,white,Argentina,,Luca Vildoza
,,black,,,Lucas Nogueira
,,black,,,Luis Montero
,,white,Argentina,,Luis Scola
,,white,,,Luka Garza
,,white,,,Luke Babbitt
,,black,,,Luol Deng
,,black,,,M.J. Walker
,,white,,,Mac McClung
,,Mixed/Black,,,Malachi Flynn
,,black,,,Malachi Richardson
,,black,,,Malcolm Delaney
,,black,,,Malcolm Hill
,,black,,,Malik Ellison
,,black,,,Malik Fitts
,,black,,,Malik Newman
,,black,,,Mamadi Diakite
,,black,,,Mangok Mathiang
,,black,,,Manny Harris
,,white,Argentino,,Manu Ginobili
,,white,Brazil,,Marcelo Huertas
,,white,Poland,,Marcin Gortat
,,black,,,Marcus Derrickson
,,black,,,Marcus Garrett
,,black,,,Marcus Georges-Hunt
,,Mixed/Black,,,Marcus Paige
,,black,,,Marcus Thornton
,,black,,,Mario Chalmers
,,black,,,Markel Brown
,,white,Montenegro,,Marko Simonovic
,,black,,,Markus Howard
,,black,,,Marques Bolden
,,black,,,Marquis Teague
,,black,,,Marreese Speights
,,white,,,Marshall Plumlee
,,black,,,MarShon Brooks
,,black,,,Mason Jones
,,black,,,Matt Barnes
,,white,,,Matt Costello
,,white,,,Matt Ryan
,,black,,,Matt Williams Jr.
,,black,,,Maurice Ndour
,,black,,,McKinley Wright IV
,,black,,,Melvin Frazier
,,black,,,Metta World Peace
,,white,,,Micah Potter
,,black,,,Michael Beasley
,,black,,,Michael Frazier II
,,black,,,Michael Gbinije
,,white,,,Mike Dunleavy
,,black,,,Mike James
,,white,,,Mike Miller
,,white,,,Mike Tobey
,,black,,,Mike Young
,,black,,,Miles McBride
,,white,,,Miles Plumlee
,,white,Serbia,,Milos Teodosic
,,black,,,Milton Doyle
,,white,Lithuania,,Mindaugas Kuzminskas
,,white,Bosnia,,Mirza Teletovic
,,white,Australia,,Mitchell Creek
,,black,,,Monta Ellis
,,black,,,Moses Moody
,,black,,,Moses Wright
,,black,,,Myke Henry
,,black,,,Myles Powell
,,black,,,Naji Marshall
,,white,,,Nate Darling
,,black,,,Nate Hinton
,,white,,,Nate Wolters
,,black,,,Nathan Knight
,,black,,,Neemias Queta
,,black,,,Nene
,,black,,,Nic Claxton
,,white,,,Nick Collison
,,black,,,Nick Richards
,,black,,,Nick Young
,,white,Italy,,Nico Mannion
,,white,Argentina,,Nicolas Brussino
,,white,Argentina,,Nicolas Laprovittola
,,black,,,Nigel Hayes
,,white,,,Nik Stauskas
,,white,Spain,,Nikola Mirotic
,,black,,,Norris Cole
,,black,,,Obi Toppin
,,black,,,Okaro White
,,black,,,Olivier Sarr
,,black,,,Omari Johnson
,,white,Turkey,,Omer Asik
,,white,Turkey,,Omer Yurtseven
,,white,Israel,,Omri Casspi
,,black,,,Onyeka Okongwu
,,black,,,P.J. Dozier
,,black,,,Paris Bass
,,white,Argentina,,Patricio Garino
,,black,,,Patrick Williams
,,white,Spain,,Pau Gasol
,,black,,,Paul Pierce
,,black,,,Paul Reed
,,white,Germany,,Paul Zipser
,,white,,,Payton Pritchard
,,black,France,,Petr Cornelie
,,black,,,Pierre Jackson
,,black,,,Precious Achiuwa
,,black,,,Quentin Grimes
,,black,,,Quincy Acy
,,black,,,Quincy Pondexter
,,black,,,R.J. Hampton
,,black,,,Rakeem Christmas
,,black,,,Ramon Sessions
,,black,,,Randy Foye
,,black,,,Rashad Vaughn
,,black,,,Rawle Alkins
,,black,,,Ray McCallum
,,black,,,Raymond Felton
,,black,,,Reggie Hearn
,,black,,,Reggie Perry
,,black,,,Reggie Williams
,,black,,,Richard Jefferson
,,black,,,Richard Solomon
,,Mixed/Black,,,RJ Hunter
,,black,,,RJ Nembhard Jr.
,,black,,,Rob Edwards
,,black,,,Robert Franks
,,black,,,Robert Woodard II
,,black,,,Rodney Purvis
,,black,,,Rodney Stuckey
,,white,,,Ron Baker
,,black,,,Ronnie Price
,,black,,,Roy Hibbert
,,white,,,Ryan Anderson
,,white,Australia,,Ryan Broekhoff
,,white,,,Ryan Kelly
,,black,,,Saben Lee
,,black,,,Saddiq Bey
,,Arab,Tunisia,,Salah Mejri
,,white,,,Sam Dekker
,,white,,,Sam Hauser
,,white,,,Sam Merrill
,,white,,,Sandro Mamukelashvili
,,white,,,Santi Aldama
,,white,Servia,,Sasha Vujacic
,,black,,,Scott Machado
,,black,,,Scottie Barnes
,,black,,,Scottie Lewis
,,black,,,Scotty Hopson
,,black,,,Sean Kilpatrick
,,white,,,Sean McDermott
,,black,,,Semaj Christon
,,white,Spain,,Sergio Rodriguez
,,black,,,Shabazz Muhammad
,,black,,,Shamorie Ponds
,,black,,,Shane Larkin
,,black,,,Shaq Buchanan
,,black,,,Sharife Cooper
,,black,,,Shaun Livingston
,,black,,,Shawn Long
,,black,,,Shelvin Mack
,,black,,,Sindarius Thornwell
,,black,,,Skylar Mays
,,white,,,Spencer Hawes
,,black,,,Stanton Kidd
,,white,,,Stephen Zimmerman
,,white,,,Steve Novak
,,white,,,T.J. Leaf
,,black,,,Tahjere McCall
,,black,,,Tarik Black
,,black,,,Terrence Jones
,,black,,,Terry Taylor
,,black,,,Theo Maledon
,,black,,,Thomas Robinson
,,white,,,Thomas Welsh
,,white,Argentina,,Tiago Splitter
,,black,,,Tim Frazier
,,black,,,Tim Quarterman
,,white,,,Timofey Mozgov
,,black,,,Toney Douglas
,,black,,,Tony Allen
,,black,France,,Tony Parker
,,white,,,Travis Wear
,,black,,,Trayvon Palmer
,,black,,,Tre Jones
,,black,,,Tre Mann
,,black,,,Trendon Watford
,,black,,,Trent Forrest
,,black,,,Trevelin Queen
,,black,,,Trevon Bluiett
,,black,,,Trevon Duval
,,black,,,Trevon Scott
,,black,,,Trevor Booker
,,black,,,Trey Burke
,,Mixed/Black,,,Trey McKinney-Jones
,,black,,,Trey Murphy III
,,black,,,Troy Caupain
,,black,,,Troy Williams
,,black,,,Ty Lawson
,,black,,,Ty-Shon Alexander
,,black,,,Tyler Bey
,,white,,,Tyler Cavanaugh
,,black,,,Tyler Cook
,,black,,,Tyler Davis
,,black,,,Tyler Dorsey
,,black,,,Tyler Ennis
,,black,,,Tyler Hall
,,Mixed/Black,,,Tyler Johnson
,,white,,,Tyler Lydon
,,black,,,Tyler Ulis
,,white,,,Tyler Zeller
,,black,,,Tyreke Evans
,,black,,,Tyrell Terry
,,black,,,Tyrese Haliburton
,,black,,,Tyrese Maxey
,,black,,,Tyrone Wallace
,,black,,,Udoka Azubuike
,,black,Spain,,Usman Garuba
,,black,,,Vander Blue
,,black,,,Vernon Carey Jr.
,,black,,,Vince Edwards
,,black,,,Vincent Hunter
,,white,Chechz,,Vit Krejci
,,black,,,Wade Baldwin IV
,,black,,,Walt Lemon Jr.
,,black,,,Wayne Selden
,,black,,,Wesley Johnson
,,white,,,Will Magnay
,,black,,,Willie Reed
,,black,,,Xavier Moon
,,black,,,Xavier Munford
,,black,,,Xavier Rathan-Mayes
,,black,,,Xavier Silas
,,black,,,Xavier Sneed
,,black,,,Xavier Tillman Sr.
,,black,,,Yakuba Ouattara
,,black,,,Yante Maten
,,black,,,Yves Pons
,,black,,,Zach Lofton
,,black,,,Zach Norvell Jr.
,,black,,,Zach Randolph
,,black,,,Zavier Simpson
,,white,,,Zaza Pachulia
,,black,,,Zeke Nnaji
,,Asian,,,Zhou Qi
,,black,,,Ziaire Williams
